title,release_year,rating,num_seasons,is_mature,genre_count,binge_score
Lo que la vida me robó,2013,TV-14,1,0,3,1.4
LoliRock,2016,TV-Y,2,0,1,1.3
London Spy,2015,TV-MA,1,1,3,1.5999999999999999
Los 10 años de Peter Capusotto,2015,TV-MA,1,1,3,1.5999999999999999
Los tiempos de Pablo Escobar,2012,TV-14,1,0,3,1.4
Lost Girl,2015,TV-14,5,0,3,3.4
Love Cuisine,2015,TV-MA,1,1,3,1.5999999999999999
Love Rain,2012,TV-PG,1,0,3,1.4
Love Rhythms - Accidental Daddy,2016,TV-MA,1,1,3,1.5999999999999999
Love Your Garden,2013,TV-G,1,0,3,1.4
Lucky Days,2010,TV-PG,1,0,3,1.4
Mad Men,2014,TV-14,7,0,1,3.8
Maggie & Bianca: Fashion Friends,2017,TV-Y7,1,0,2,1.1
Magi: Adventure of Sinbad,2016,TV-14,1,0,2,1.1
Maharakshak Devi,2015,TV-14,1,0,3,1.4
Maharakshak: Aryan,2014,TV-14,1,0,3,1.4
Mahi Way,2010,TV-14,1,0,2,1.1
Mahmut & Meryem,2013,TV-14,1,0,3,1.4
Man vs Wild with Sunny Leone,2018,TV-PG,1,0,3,1.4
Marching Orders,2018,TV-14,1,0,1,0.8
Maron,2016,TV-MA,4,1,1,2.5
Married at First Sight,2019,TV-14,1,0,2,1.1
Mars,2018,TV-PG,2,0,3,1.9
Mary Portas: Secret Shopper,2016,TV-14,1,0,3,1.4
Mega Food,2013,TV-G,1,0,3,1.4
MegaTruckers,2012,TV-PG,1,0,1,0.8
Melodies of Life - Born This Way,2016,TV-14,1,0,3,1.4
Mere Papa Hero Hiralal,2018,TV-14,1,0,2,1.1
Merlí,2015,TV-MA,1,1,3,1.5999999999999999
Mexico Diseña,2016,TV-PG,1,0,3,1.4
Midnight Misadventures With Mallika Dua,2018,TV-14,1,0,3,1.4
Mighty Morphin Alien Rangers,1996,TV-Y7,1,0,1,0.8
Mini Wolf,2014,TV-G,2,0,1,1.3
Minute to Win It,2013,TV-PG,1,0,1,0.8
Miss Dynamite,2015,TV-14,1,0,3,1.4
Miss Rose,2015,TV-MA,1,1,3,1.5999999999999999
Momo Salon,2014,TV-14,1,0,3,1.4
Money for Nothing,2015,TV-PG,1,0,3,1.4
Monkey Planet,2014,TV-PG,1,0,3,1.4
Monster Math Squad,2012,TV-Y,2,0,1,1.3
Monty Don's French Gardens,2013,TV-G,1,0,3,1.4
Monty Don's Italian Gardens,2011,TV-G,1,0,3,1.4
Mr. Young,2013,TV-G,2,0,2,1.6
Murderous Affairs,2017,TV-MA,3,1,2,2.3000000000000003
Mutant Busters,2017,TV-PG,2,0,2,1.6
My Hotter Half,2017,TV-PG,1,0,3,1.4
My Life My Story,2017,TV-14,1,0,2,1.1
My Tattoo Addiction,2013,TV-MA,1,1,2,1.3
Mystery Science Theater 3000,1999,TV-14,1,0,2,1.1
Nature: Animals With Cameras,2018,TV-PG,1,0,2,1.1
NATURE: Natural Born Hustlers,2016,TV-G,1,0,2,1.1
Nature's Great Events (2009),2009,TV-PG,1,0,3,1.4
Nature's Great Events: Diaries,2009,TV-PG,1,0,3,1.4
Nature's Great Race,2016,TV-PG,1,0,3,1.4
Nature's Weirdest Events,2015,TV-PG,3,0,3,2.4
Nazi Mega Weapons,2016,TV-PG,3,0,1,1.8
"Nightmare Tenants, Slum Landlords",2016,TV-MA,2,1,3,2.1
Ninja Hattori,1981,TV-Y7,1,0,2,1.1
Ninja Turtles: The Next Mutation,1997,TV-G,1,0,2,1.1
Nobel,2016,R,1,1,3,1.5999999999999999
North & South,2004,NR,1,0,3,1.4
NSU German History X,2016,TV-MA,1,1,3,1.5999999999999999
Nuestra Lucha Libre,2018,TV-MA,1,1,3,1.5999999999999999
Nura: Rise of the Yokai Clan: Demon Capital,2011,TV-MA,1,1,2,1.3
Nurse Jackie,2015,TV-MA,7,1,2,4.3
Nurses Who Kill,2016,TV-14,1,0,3,1.4
"O-Negative, Love Can’t Be Designed",2016,TV-MA,1,1,3,1.5999999999999999
OCTB,2017,TV-14,1,0,3,1.4
Oh No! It's an Alien Invasion,2014,TV-Y7-FV,2,0,3,1.9
Oliver Stone's Untold History of the United States,2013,TV-PG,1,0,1,0.8
Ollie & Moon,2018,TV-Y,1,0,1,0.8
One Strange Rock,2018,TV-PG,1,0,2,1.1
Operation Gold Rush,2016,TV-14,1,0,2,1.1
Operation Ouch!,2012,TV-PG,1,0,3,1.4
Operation Proposal,2012,TV-PG,1,0,3,1.4
Origins Collection,2018,TV-PG,3,0,1,1.8
P. King Duckling,2016,TV-Y,1,0,2,1.1
Pacific Heat,2016,TV-14,1,0,2,1.1
Pajanimals,2011,TV-Y,1,0,1,0.8
