title,release_year,rating,num_seasons,is_mature,genre_count,binge_score
Turning Point: 9/11 and the War on Terror,2021,TV-14,1,0,1,0.8
Sparking Joy,2021,TV-PG,1,0,1,0.8
Hometown Cha-Cha-Cha,2021,TV-14,1,0,3,1.4
The Ingenuity of the Househusband,2021,TV-G,1,0,2,1.1
Bread Barbershop,2020,TV-Y,2,0,2,1.6
D.P.,2021,TV-MA,1,1,2,1.3
Deadly Sins,2002,TV-MA,1,1,3,1.5999999999999999
I Heart Arlo,2021,TV-Y7,1,0,2,1.1
King of Boys: The Return of the King,2021,TV-MA,1,1,3,1.5999999999999999
Rebellion,2016,TV-MA,2,1,2,1.8
RIDE ON TIME,2021,TV-PG,3,0,2,2.1
Titletown High,2021,TV-14,1,0,2,1.1
EDENS ZERO,2021,TV-14,1,0,2,1.1
Family Reunion,2021,TV-PG,4,0,2,2.6
Clickbait,2021,TV-MA,1,1,3,1.5999999999999999
John of God: The Crimes of a Spiritual Healer,2021,TV-MA,1,1,3,1.5999999999999999
Motel Makeover,2021,TV-14,1,0,2,1.1
Open Your Eyes,2021,TV-MA,1,1,3,1.5999999999999999
Post Mortem: No One Dies in Skarnes,2021,TV-MA,1,1,3,1.5999999999999999
Wheel of Fortune,2019,TV-G,3,0,1,1.8
Oggy Oggy,2021,TV-Y,1,0,2,1.1
Manifest,2021,TV-14,3,0,3,2.4
Comedy Premium League,2021,TV-MA,1,1,2,1.3
Everything Will Be Fine,2021,TV-MA,1,1,3,1.5999999999999999
Korean Cold Noodle Rhapsody,2021,TV-PG,1,0,2,1.1
The Chair,2021,TV-MA,1,1,2,1.3
Go! Go! Cory Carson,2021,TV-Y,5,0,1,2.8
The Defeated,2020,TV-MA,1,1,3,1.5999999999999999
Mother Goose Club,2016,TV-Y,2,0,1,1.3
Rascal Does Not Dream of Bunny Girl Senpai,2018,TV-14,1,0,3,1.4
The Creative Indians,2020,TV-MA,1,1,2,1.3
Winx Club,2015,TV-Y7,2,0,1,1.3
Brand New Cherry Flavor,2021,TV-MA,1,1,3,1.5999999999999999
Fast & Furious Spy Racers,2021,TV-Y7,5,0,1,2.8
Gone for Good,2021,TV-MA,1,1,3,1.5999999999999999
Grace and Frankie,2021,TV-MA,7,1,2,4.3
The Kingdom,2021,TV-MA,1,1,3,1.5999999999999999
Valeria,2021,TV-MA,2,1,3,2.1
AlRawabi School for Girls,2021,TV-14,1,0,3,1.4
Bake Squad,2021,TV-PG,1,0,1,0.8
Gabby's Dollhouse,2021,TV-Y,2,0,1,1.3
I Need Romance,2021,TV-14,1,0,3,1.4
Las muñecas de la mafia,2018,TV-MA,1,1,3,1.5999999999999999
The Crowned Clown,2019,TV-14,1,0,3,1.4
SHAMAN KING,2021,TV-14,1,0,2,1.1
Hit & Run,2021,TV-MA,1,1,3,1.5999999999999999
Navarasa,2021,TV-MA,1,1,1,1.0
Car Masters: Rust to Riches,2021,TV-PG,3,0,1,1.8
Cocaine Cowboys: The Kings of Miami,2021,TV-MA,1,1,2,1.3
Control Z,2021,TV-MA,2,1,3,2.1
Cooking With Paris,2021,TV-MA,1,1,1,1.0
Autumn's Concerto,2009,TV-14,1,0,3,1.4
Office Girls,2011,TV-14,1,0,3,1.4
The Prince Who Turns into a Frog,2005,TV-14,1,0,3,1.4
Top Secret UFO Projects: Declassified,2021,TV-PG,1,0,1,0.8
Two Fathers,2013,TV-14,1,0,3,1.4
You're My Destiny,2008,TV-MA,1,1,3,1.5999999999999999
30 Rock,2012,TV-14,7,0,1,3.8
44 Cats,2020,TV-Y7,3,0,1,1.8
Darwin’s Game,2020,TV-MA,1,1,3,1.5999999999999999
Friday Night Lights,2010,TV-14,5,0,2,3.1
Hunter X Hunter (2011),2014,TV-14,6,0,2,3.6
Charmed,2021,TV-14,3,0,2,2.1
Centaurworld,2021,TV-Y7,1,0,2,1.1
Glow Up,2021,TV-14,3,0,3,2.4
Khawatir,2009,TV-14,1,0,2,1.1
Myth & Mogul: John DeLorean,2021,TV-14,1,0,3,1.4
Outer Banks,2021,TV-MA,2,1,3,2.1
Transformers: War for Cybertron: Kingdom,2021,TV-Y7,1,0,1,0.8
Tattoo Redo,2021,TV-MA,1,1,1,1.0
The Flash,2021,TV-14,7,0,3,4.4
The Snitch Cartel: Origins,2021,TV-MA,1,1,3,1.5999999999999999
All American,2021,TV-14,3,0,2,2.1
How to Sell Drugs Online (Fast),2021,TV-MA,3,1,3,2.6
Mighty Express,2021,TV-Y,4,0,1,2.3
Plastic Cup Boyz: Laughing My Mask Off!,2021,TV-MA,1,1,2,1.3
The Walking Dead,2019,TV-MA,10,1,3,6.1000000000000005
Wynonna Earp,2020,TV-MA,4,1,3,3.1
Feels Like Ishq,2021,TV-MA,1,1,3,1.5999999999999999
Masters of the Universe: Revelation,2021,TV-PG,1,0,2,1.1
Revelations: The Masters of the Universe: Revelation Aftershow,2021,TV-PG,1,0,2,1.1
Sky Rojo,2021,TV-MA,2,1,3,2.1
The Movies That Made Us,2021,TV-MA,2,1,1,1.5
Chicago Med,2019,TV-14,5,0,1,2.8
Sexy Beasts,2021,TV-14,1,0,3,1.4
Too Hot to Handle: Brazil,2021,TV-MA,1,1,3,1.5999999999999999
Okupas,2020,TV-MA,1,1,3,1.5999999999999999
Touch Your Heart,2019,TV-MA,1,1,3,1.5999999999999999
Explained,2021,TV-MA,3,1,2,2.3000000000000003
Johnny Test,2021,TV-Y7,1,0,2,1.1
Naomi Osaka,2021,TV-14,1,0,1,0.8
BEASTARS,2021,TV-MA,2,1,2,1.8
Her Private Life,2019,TV-14,1,0,3,1.4
Never Have I Ever,2021,TV-14,2,0,3,1.9
Heist,2021,TV-MA,1,1,2,1.3
My Unorthodox Life,2021,TV-MA,1,1,1,1.0
Ridley Jones,2021,TV-Y,1,0,1,0.8
Atypical,2021,TV-14,4,0,3,2.9
Biohackers,2021,TV-MA,2,1,3,2.1
How to Become a Tyrant,2021,TV-MA,1,1,1,1.0
The Cook of Castamar,2021,TV-MA,1,1,3,1.5999999999999999
Virgin River,2021,TV-14,3,0,2,2.1
Elize Matsunaga: Once Upon a Crime,2021,TV-MA,1,1,3,1.5999999999999999
RESIDENT EVIL: Infinite Darkness,2021,TV-MA,1,1,3,1.5999999999999999
Cat People,2021,TV-14,1,0,1,0.8
Dogs,2021,TV-PG,2,0,1,1.3
The Mire,2021,TV-MA,2,1,3,2.1
The War Next-door,2021,TV-MA,1,1,3,1.5999999999999999
Ask the StoryBots,2019,TV-Y,3,0,1,1.8
Between,2016,TV-14,2,0,3,1.9
Chelsea,2017,TV-MA,2,1,2,1.8
Code Lyoko,2007,TV-Y7,4,0,1,2.3
Colony,2018,TV-14,3,0,3,2.4
Cuckoo,2019,TV-MA,5,1,3,3.6
Derry Girls,2019,TV-MA,2,1,3,2.1
Girl from Nowhere,2021,TV-MA,2,1,3,2.1
Good Morning Call,2017,TV-14,2,0,3,1.9
I AM A KILLER,2020,TV-MA,2,1,3,2.1
I Think You Should Leave with Tim Robinson,2021,TV-MA,2,1,1,1.5
Kim's Convenience,2021,TV-MA,5,1,2,3.3000000000000003
Larva,2015,TV-Y7,3,0,3,2.4
Marcella,2019,TV-MA,3,1,3,2.6
Midnight Diner: Tokyo Stories,2019,TV-MA,2,1,2,1.8
My Little Pony: Friendship Is Magic,2018,TV-Y,8,0,1,4.3
Orange Is the New Black,2019,TV-MA,7,1,2,4.3
Puffin Rock,2016,TV-Y,2,0,1,1.3
Richie Rich,2015,TV-G,2,0,2,1.6
Scream,2019,TV-MA,3,1,3,2.6
Shtisel,2021,TV-14,3,0,2,2.1
Some Assembly Required,2015,TV-Y,2,0,2,1.6
Tales by Light,2018,TV-14,3,0,3,2.4
Terrace House: Opening New Doors,2018,TV-14,6,0,2,3.6
The A List,2021,TV-PG,2,0,3,1.9
The New Legends of Monkey,2020,TV-PG,2,0,3,1.9
The Worst Witch,2020,TV-G,4,0,2,2.6
Undercover,2020,TV-MA,2,1,3,2.1
Workin' Moms,2021,TV-MA,5,1,2,3.3000000000000003
YooHoo to the Rescue,2020,TV-Y,3,0,2,2.1
You Are My Spring,2021,TV-14,1,0,3,1.4
We the People,2021,TV-Y7,1,0,1,0.8
Grey's Anatomy,2020,TV-14,17,0,2,9.1
Big Timber,2020,TV-14,1,0,2,1.1
Mortel,2019,TV-MA,2,1,3,2.1
Bureau of Magical Things,2020,TV-G,1,0,3,1.4
Generation 56k,2021,TV-MA,1,1,3,1.5999999999999999
Masameer County,2021,TV-MA,1,1,2,1.3
Quarantine Tales,2020,TV-MA,1,1,3,1.5999999999999999
Rainbow Rangers,2018,TV-Y,1,0,1,0.8
Sailor Moon Crystal,2016,TV-Y7,3,0,2,2.1
Young Royals,2021,TV-MA,1,1,3,1.5999999999999999
Droppin' Cash: Los Angeles,2019,TV-MA,1,1,1,1.0
Legend of Exorcism,2020,TV-14,1,0,3,1.4
Somos.,2021,TV-MA,1,1,3,1.5999999999999999
Sophie: A Murder in West Cork,2021,TV-MA,1,1,3,1.5999999999999999
The Daily Life of the Immortal King,2020,TV-14,1,0,3,1.4
StarBeam,2021,TV-Y,4,0,1,2.3
The Seven Deadly Sins,2021,TV-14,5,0,2,3.1
Ray,2021,TV-MA,1,1,3,1.5999999999999999
Sex/Life,2021,TV-MA,1,1,2,1.3
Godzilla Singular Point,2021,TV-14,1,0,2,1.1
Jiva!,2021,TV-MA,1,1,2,1.3
The Naked Director,2021,TV-MA,2,1,2,1.8
The Parisian Agency: Exclusive Properties,2021,TV-G,1,0,2,1.1
Too Hot to Handle,2021,TV-MA,2,1,2,1.8
This Is Pop,2021,TV-MA,1,1,2,1.3
The Mole,2001,TV-14,2,0,3,1.9
"Nevertheless,",2021,TV-14,1,0,3,1.4
Bangkok Love Stories: Innocence,2018,TV-14,1,0,3,1.4
Black Lightning,2021,TV-14,4,0,3,2.9
Call My Agent!,2018,TV-MA,4,1,3,3.1
Champions,2018,TV-14,1,0,1,0.8
Charité at War,2019,TV-MA,1,1,2,1.3
Cleo & Cuquin,2020,TV-Y,2,0,1,1.3
Deadwind,2020,TV-MA,2,1,3,2.1
Gameboys Level-Up Edition,2020,TV-14,1,0,3,1.4
Glee,2015,TV-14,6,0,3,3.9
Hap and Leonard,2018,TV-MA,3,1,2,2.3000000000000003
Locked Up,2020,TV-MA,5,1,3,3.6
No Time for Shame,2019,TV-MA,1,1,3,1.5999999999999999
Pose,2019,TV-MA,2,1,1,1.5
REA(L)OVE,2018,TV-MA,1,1,3,1.5999999999999999
Riverdale,2019,TV-14,4,0,3,2.9
Schitt's Creek,2020,TV-MA,6,1,1,3.5
The Assassination of Gianni Versace,2018,TV-MA,1,1,3,1.5999999999999999
The Judgement,2018,TV-MA,1,1,3,1.5999999999999999
The Last Dance,2020,TV-MA,1,1,1,1.0
They've Gotta Have Us,2018,TV-MA,1,1,2,1.3
Why Are You Like This,2021,TV-MA,1,1,2,1.3
Elite,2021,TV-MA,4,1,3,3.1
Hospital Playlist,2021,TV-14,2,0,3,1.9
So Not Worth It,2021,TV-14,1,0,2,1.1
The Rational Life,2021,TV-14,1,0,3,1.4
Black Summer,2021,TV-MA,2,1,3,2.1
Elite Short Stories: Carla Samuel,2021,TV-MA,1,1,3,1.5999999999999999
Katla,2021,TV-MA,1,1,3,1.5999999999999999
Record of Ragnarok,2021,TV-MA,1,1,2,1.3
The Gift,2021,TV-MA,3,1,3,2.6
Elite Short Stories: Omar Ander Alexis,2021,TV-MA,1,1,3,1.5999999999999999
Let's Eat,2021,TV-14,1,0,3,1.4
Millennials,2020,TV-MA,3,1,3,2.6
Penguin Town,2021,TV-PG,1,0,2,1.1
Avengers Climate Conundrum,2020,TV-Y7,1,0,2,1.1
Beyond Evil,2021,TV-MA,1,1,3,1.5999999999999999
Elite Short Stories: Nadia Guzmán,2021,TV-MA,1,1,3,1.5999999999999999
Power Rangers Dino Fury,2021,TV-G,1,0,1,0.8
Rhyme Time Town,2021,TV-Y,2,0,1,1.3
The American Bible Challenge,2014,TV-G,1,0,1,0.8
Elite Short Stories: Guzmán Caye Rebe,2021,TV-MA,1,1,3,1.5999999999999999
Metallica: Some Kind of Monster,2014,TV-MA,1,1,1,1.0
Love (ft. Marriage and Divorce),2021,TV-14,2,0,2,1.6
LEGO Friends: The Power of Friendship,2016,TV-Y7,2,0,1,1.3
Lupin,2021,TV-MA,2,1,3,2.1
Trese,2021,TV-MA,1,1,3,1.5999999999999999
Locombianos,2021,TV-MA,1,1,3,1.5999999999999999
"Fresh, Fried & Crispy",2021,TV-PG,1,0,1,0.8
L.A.’s Finest,2021,TV-MA,2,1,3,2.1
Guru Aur Bhole,2018,TV-Y7,2,0,2,1.6
"Newly Rich, Newly Poor",2007,TV-MA,1,1,3,1.5999999999999999
Feel Good,2021,TV-MA,2,1,3,2.1
Human: The World Within,2021,TV-PG,1,0,2,1.1
Sweet Tooth,2021,TV-14,1,0,3,1.4
Creator's File: GOLD,2021,TV-14,1,0,2,1.1
Pretty Guardian Sailor Moon Eternal The Movie,2021,TV-14,1,0,1,0.8
Summertime,2021,TV-MA,2,1,3,2.1
Attack on Titan,2013,TV-MA,1,1,2,1.3
Ben & Holly's Little Kingdom,2019,TV-Y,2,0,1,1.3
Cocomelon,2021,TV-Y,3,0,1,1.8
Downton Abbey,2015,TV-14,6,0,3,3.9
Happy Endings,2012,TV-14,3,0,1,1.8
Ouran High School Host Club,2006,TV-PG,1,0,3,1.4
Racket Boys,2021,TV-14,1,0,3,1.4
The Adventures of Sonic the Hedgehog,1993,TV-Y7,1,0,1,0.8
The Platform,2021,TV-14,3,0,3,2.4
Dirty John,2020,TV-MA,2,1,3,2.1
The Kominsky Method,2021,TV-MA,3,1,2,2.3000000000000003
The Least Expected Day: Inside the Movistar Team 2019,2021,TV-MA,2,1,3,2.1
Word of Honor,2021,TV-14,1,0,3,1.4
Black Space,2021,TV-MA,1,1,3,1.5999999999999999
Eden,2021,TV-PG,1,0,2,1.1
Ragnarok,2021,TV-MA,2,1,3,2.1
High on the Hog: How African American Cuisine Transformed America,2021,TV-14,1,0,1,0.8
JoJo's Bizarre Adventure,2016,TV-MA,3,1,2,2.3000000000000003
Mad for Each Other,2021,TV-MA,1,1,3,1.5999999999999999
Master of None,2021,TV-MA,3,1,2,2.3000000000000003
Jurassic World Camp Cretaceous,2021,TV-Y7,3,0,3,2.4
The Neighbor,2021,TV-MA,2,1,3,2.1
Special,2021,TV-MA,2,1,1,1.5
The Magic School Bus,1997,TV-Y,1,0,1,0.8
Who Killed Sara?,2021,TV-MA,2,1,3,2.1
Booba: Food Puzzle,2021,TV-Y,1,0,1,0.8
Alma Matters,2021,TV-MA,1,1,2,1.3
Halston,2021,TV-MA,1,1,1,1.0
Haunted,2021,TV-MA,3,1,3,2.6
"Love, Death & Robots",2021,TV-MA,2,1,3,2.1
Move to Heaven,2021,TV-MA,1,1,2,1.3
The Mystic River,2020,TV-14,1,0,3,1.4
Castlevania,2021,TV-MA,4,1,3,3.1
The Upshaws,2021,TV-14,1,0,1,0.8
Use For My Talent,2021,TV-14,1,0,3,1.4
"Money, Explained",2021,TV-14,1,0,1,0.8
Mine,2021,TV-14,1,0,2,1.1
Jupiter's Legacy,2021,TV-MA,1,1,2,1.3
Sab Jholmaal Hai,2017,TV-Y7,2,0,2,1.6
Lava Ka Dhaava,2021,TV-PG,1,0,1,0.8
The Sons of Sam: A Descent into Darkness,2021,TV-MA,1,1,2,1.3
Selena: The Series,2020,TV-PG,2,0,1,1.3
StartUp,2018,TV-MA,3,1,2,2.3000000000000003
Trash Truck,2021,TV-Y,2,0,1,1.3
Angelina Ballerina,2010,TV-Y,2,0,2,1.6
Barney and Friends,2010,TV-Y,2,0,1,1.3
Miniforce: Super Dino Power,2020,TV-Y7,1,0,1,0.8
Pet Stars,2021,TV-PG,1,0,1,0.8
The Innocent,2021,TV-MA,1,1,3,1.5999999999999999
The Unremarkable Juanquini,2021,TV-MA,2,1,3,2.1
Yasuke,2021,TV-MA,1,1,2,1.3
Headspace Guide to Sleep,2021,TV-G,1,0,2,1.1
Sexify,2021,TV-MA,1,1,3,1.5999999999999999
Fatma,2021,TV-MA,1,1,3,1.5999999999999999
Let's Fight Ghost,2021,TV-14,1,0,3,1.4
Shadow and Bone,2021,TV-14,1,0,3,1.4
Life in Color with David Attenborough,2021,TV-PG,1,0,3,1.4
Zero,2021,TV-MA,1,1,3,1.5999999999999999
Izzy's Koala World,2021,TV-Y,2,0,1,1.3
Luis Miguel - The Series,2021,TV-MA,2,1,3,2.1
PJ Masks,2019,TV-Y,3,0,1,1.8
Bakugan: Geogan Rising,2021,TV-Y7,1,0,2,1.1
Love Naggers,2021,TV-14,1,0,2,1.1
Dancing Angels,2016,TV-PG,1,0,3,1.4
Durarara!!,2016,TV-MA,1,1,3,1.5999999999999999
Garth Brooks: The Road I’m On,2019,TV-PG,1,0,1,0.8
Gilmore Girls,2006,TV-14,7,0,3,4.4
High-Rise Invasion,2021,TV-MA,1,1,3,1.5999999999999999
Next in Fashion,2020,TV-14,1,0,1,0.8
Peasants Rebellion,2018,TV-14,1,0,2,1.1
Power Players,2020,TV-Y,3,0,1,1.8
Ricky Zoom,2019,TV-Y,1,0,2,1.1
Sonic X,2003,TV-Y7,2,0,2,1.6
Ajaibnya Cinta,2015,TV-PG,1,0,2,1.1
Dad Stop Embarrassing Me!,2021,TV-14,1,0,1,0.8
Fate: The Winx Saga,2021,TV-MA,1,1,3,1.5999999999999999
House of Cards,2018,TV-MA,6,1,2,3.8000000000000003
Indian Matchmaking,2020,TV-14,1,0,2,1.1
Jeffrey Epstein: Filthy Rich,2020,TV-MA,1,1,2,1.3
Law School,2021,TV-14,1,0,3,1.4
Living with Yourself,2019,TV-MA,1,1,2,1.3
Signal,2016,TV-MA,1,1,3,1.5999999999999999
Slasher,2019,TV-MA,3,1,3,2.6
The Underclass,2020,TV-MA,1,1,3,1.5999999999999999
Unnatural Selection,2019,TV-MA,1,1,2,1.3
My Love: Six Stories of True Love,2021,TV-PG,1,0,1,0.8
The Baker and the Beauty,2020,TV-PG,1,0,3,1.4
"Nicky, Ricky, Dicky & Dawn",2018,TV-G,4,0,2,2.6
Don't be the First one,2021,TV-14,1,0,2,1.1
Heaven Official's Blessing,2020,TV-14,1,0,3,1.4
The Way of the Househusband,2021,TV-MA,1,1,2,1.3
The Big Day,2021,TV-14,2,0,3,1.9
The Wedding Coach,2021,TV-MA,1,1,2,1.3
This Is a Robbery: The World's Biggest Art Heist,2021,TV-MA,1,1,3,1.5999999999999999
Glimpses of a Future,2020,TV-PG,1,0,2,1.1
Magical Andes,2021,TV-G,2,0,3,1.9
Murder Maps,2017,TV-MA,2,1,3,2.1
Prank Encounters,2021,TV-MA,2,1,3,2.1
Secrets of Great British Castles,2016,TV-PG,2,0,3,1.9
Worn Stories,2021,TV-MA,1,1,2,1.3
Haunted: Latin America,2021,TV-14,1,0,3,1.4
Robocar Poli,2015,TV-Y,2,0,2,1.6
Yu-Gi-Oh!,2005,TV-Y7,1,0,2,1.1
Rainbow High,2020,TV-Y,1,0,1,0.8
Big Time Rush,2013,TV-G,4,0,1,2.3
Magic for Humans Spain,2021,TV-MA,1,1,3,1.5999999999999999
The Irregulars,2021,TV-14,1,0,3,1.4
DOTA: Dragon's Blood,2021,TV-MA,1,1,1,1.0
Pui Pui Molcar,2021,TV-Y7,1,0,1,0.8
Men on a Mission,2021,TV-14,6,0,3,3.9
Navillera,2021,TV-14,1,0,2,1.1
Mighty Morphin Power Rangers,2010,TV-Y7,4,0,1,2.3
Alien TV,2021,TV-Y7,2,0,2,1.6
Country Comfort,2021,TV-PG,1,0,1,0.8
Formula 1: Drive to Survive,2021,TV-MA,3,1,1,2.0
B: The Beginning,2021,TV-MA,2,1,3,2.1
Under Suspicion: Uncovering the Wesphael Case,2021,TV-14,1,0,3,1.4
Waffles + Mochi,2021,TV-Y,1,0,1,0.8
Abla Fahita: Drama Queen,2021,TV-14,1,0,3,1.4
The Lost Pirate Kingdom,2021,TV-MA,1,1,3,1.5999999999999999
Zero Chill,2021,TV-G,1,0,3,1.4
Love Alarm,2021,TV-MA,2,1,3,2.1
Paradise PD,2021,TV-MA,3,1,1,2.0
The One,2021,TV-MA,1,1,3,1.5999999999999999
Dealer,2021,TV-MA,1,1,3,1.5999999999999999
Last Chance U: Basketball,2021,TV-MA,1,1,1,1.0
Marriage or Mortgage,2021,TV-G,1,0,2,1.1
The Houseboat,2021,TV-14,1,0,2,1.1
Bombay Begums,2021,TV-MA,1,1,2,1.3
My Way,2015,TV-14,1,0,2,1.1
City of Ghosts,2021,TV-Y7,1,0,1,0.8
Nevenka: Breaking the Silence,2021,TV-MA,1,1,3,1.5999999999999999
Pokémon Journeys: The Series,2021,TV-Y7,4,0,3,2.9
Pacific Rim: The Black,2021,TV-14,1,0,1,0.8
Murder Among the Mormons,2021,TV-14,1,0,2,1.1
Word Party,2021,TV-Y,5,0,1,2.8
A Perfect Day For Arsenide,2019,TV-MA,1,1,3,1.5999999999999999
TIGER & BUNNY,2011,TV-14,1,0,2,1.1
El final del paraíso,2019,TV-MA,1,1,3,1.5999999999999999
Sin senos sí hay paraíso,2018,TV-MA,3,1,3,2.6
The Last Bastion,2018,TV-MA,1,1,3,1.5999999999999999
Age of Samurai: Battle for Japan,2021,TV-MA,1,1,2,1.3
Canine Intervention,2021,TV-PG,1,0,1,0.8
Ginny & Georgia,2021,TV-14,1,0,3,1.4
Two Sentence Horror Stories,2021,TV-14,2,0,2,1.6
Zindagi in Short,2020,TV-MA,1,1,2,1.3
Vincenzo,2021,TV-14,1,0,3,1.4
Pitta Kathalu,2021,TV-MA,1,1,2,1.3
Tribes of Europa,2021,TV-MA,1,1,3,1.5999999999999999
"Hello, Me!",2021,TV-14,1,0,3,1.4
Sisyphus,2021,TV-14,1,0,3,1.4
Thus Spoke Kishibe Rohan,2021,TV-MA,1,1,2,1.3
Amend: The Fight for America,2021,TV-MA,1,1,1,1.0
Behind Her Eyes,2021,TV-MA,1,1,3,1.5999999999999999
MeatEater,2021,TV-14,4,0,3,2.9
Good Girls,2020,TV-MA,3,1,3,2.6
Booba,2021,TV-Y7,4,0,2,2.6
The Crew,2021,TV-14,1,0,1,0.8
Buried by the Bernards,2021,TV-14,1,0,1,0.8
Chappelle's Show,2005,TV-MA,2,1,1,1.5
Nadiya Bakes,2021,TV-G,1,0,3,1.4
Capitani,2019,TV-MA,1,1,3,1.5999999999999999
El Chema,2016,TV-MA,1,1,3,1.5999999999999999
Crime Scene: The Vanishing at the Cecil Hotel,2021,TV-MA,1,1,2,1.3
Five Came Back: The Reference Films,1945,TV-MA,1,1,1,1.0
ICarly,2008,TV-G,2,0,2,1.6
The Sinner,2020,TV-MA,3,1,3,2.6
Hache,2021,TV-MA,2,1,3,2.1
Invisible City,2021,TV-MA,1,1,3,1.5999999999999999
Firefly Lane,2021,TV-MA,1,1,2,1.3
"Pablo Escobar, el patrón del mal",2012,TV-MA,1,1,3,1.5999999999999999
Power Rangers Ninja Steel,2018,TV-Y7,2,0,1,1.3
Tiffany Haddish Presents: They Ready,2021,TV-MA,2,1,2,1.8
Heartland,2019,TV-14,13,0,1,6.8
Love Daily,2018,TV-14,1,0,2,1.1
My Dead Ex,2018,TV-14,1,0,2,1.1
The House Arrest of Us,2020,TV-MA,1,1,3,1.5999999999999999
The Unsettling,2019,TV-14,1,0,2,1.1
Total Drama,2015,TV-PG,7,0,2,4.1
Zac and Mia,2019,TV-14,2,0,3,1.9
Zig & Sharko,2019,TV-Y7,2,0,2,1.6
We Are: The Brooklyn Saints,2021,TV-14,1,0,1,0.8
50M2,2021,TV-MA,1,1,3,1.5999999999999999
BONDING,2021,TV-MA,2,1,2,1.8
Outlander,2018,TV-MA,4,1,3,3.1
Go Dog Go,2021,TV-Y,1,0,1,0.8
Blown Away,2021,TV-14,2,0,2,1.6
Busted!,2021,TV-14,3,0,3,2.4
Demon Slayer: Kimetsu no Yaiba,2019,TV-14,1,0,2,1.1
Daughter From Another Mother,2021,TV-MA,1,1,3,1.5999999999999999
Spycraft,2021,TV-MA,1,1,2,1.3
Hello Ninja,2021,TV-Y,4,0,1,2.3
Bling Empire,2021,TV-MA,1,1,1,1.0
Carmen Sandiego,2021,TV-Y7,4,0,2,2.6
Disenchantment,2021,TV-14,3,0,3,2.4
Henry Danger,2016,TV-G,3,0,2,2.1
The Magicians,2020,TV-MA,5,1,2,3.3000000000000003
Night Stalker: The Hunt for a Serial Killer,2021,TV-MA,1,1,2,1.3
Last Tango in Halifax,2020,TV-MA,4,1,3,3.1
Inside the World’s Toughest Prisons,2021,TV-MA,5,1,3,3.6
Mighty Little Bheem: Kite Festival,2021,TV-Y,1,0,2,1.1
Pretend It’s a City,2021,TV-14,1,0,1,0.8
The Idhun Chronicles,2021,TV-14,2,0,3,1.9
Surviving Death,2021,TV-MA,1,1,2,1.3
History of Swear Words,2021,TV-MA,1,1,2,1.3
Nailed It! Mexico,2021,TV-PG,3,0,3,2.4
Korean Pork Belly Rhapsody,2020,TV-G,1,0,2,1.1
QB1: Beyond the Lights,2019,TV-14,1,0,1,0.8
Cobra Kai,2021,TV-14,3,0,3,2.4
Dream Home Makeover,2021,TV-G,2,0,1,1.3
Headspace Guide to Meditation,2021,TV-G,1,0,2,1.1
Jenni Rivera: Mariposa de Barrio,2017,TV-MA,1,1,2,1.3
Monarca,2021,TV-MA,2,1,3,2.1
Running Man,2020,TV-Y7,1,0,2,1.1
The Cat in the Hat Knows a Lot About That!,2014,TV-Y,1,0,1,0.8
The Haunted Hathaways,2013,TV-G,2,0,3,1.9
Chilling Adventures of Sabrina,2020,TV-14,4,0,3,2.9
Best Leftovers Ever!,2020,TV-G,1,0,1,0.8
Dare Me,2019,TV-MA,1,1,3,1.5999999999999999
Equinox,2020,TV-MA,1,1,3,1.5999999999999999
SanPa: Sins of the Savior,2020,TV-MA,1,1,3,1.5999999999999999
Still Game,2018,TV-14,9,0,3,5.4
Transformers: War for Cybertron: Earthrise,2020,TV-Y7,1,0,1,0.8
A Love So Beautiful,2020,TV-PG,1,0,3,1.4
Sakho & Mangane,2019,TV-MA,1,1,3,1.5999999999999999
Regiment Diaries,2020,TV-PG,2,0,2,1.6
Bridgerton,2020,TV-MA,1,1,2,1.3
Lovestruck in the City,2020,TV-14,1,0,3,1.4
Rhyme Time Town Singalongs,2020,TV-Y,1,0,1,0.8
Shaun the Sheep,2016,TV-Y,2,0,3,1.9
Timmy Time,2010,TV-Y,1,0,2,1.1
Diamond City,2019,TV-MA,1,1,3,1.5999999999999999
Home for Christmas,2020,TV-MA,2,1,3,2.1
Paava Kadhaigal,2020,TV-MA,1,1,2,1.3
Morphle,2020,TV-Y,2,0,2,1.6
Run On,2020,TV-MA,1,1,3,1.5999999999999999
Schulz Saves America,2020,TV-MA,1,1,2,1.3
Anitta: Made In Honório,2020,TV-MA,1,1,2,1.3
BREAK IT ALL: The History of Rock in Latin America,2020,TV-MA,1,1,2,1.3
How To Ruin Christmas,2020,TV-MA,1,1,3,1.5999999999999999
Marvel Anime: Wolverine,2011,TV-14,1,0,2,1.1
Marvel Anime: X-Men,2011,TV-14,1,0,2,1.1
The Ripper,2020,TV-MA,1,1,3,1.5999999999999999
Black Ink Crew New York,2014,TV-14,2,0,1,1.3
Pup Academy,2020,TV-Y,2,0,2,1.6
Song Exploder,2020,TV-MA,2,1,1,1.5
Teen Mom 2,2011,TV-14,2,0,1,1.3
The Challenge,2006,TV-14,2,0,1,1.3
Hilda,2021,TV-Y7,2,0,1,1.3
Tiny Pretty Things,2020,TV-MA,1,1,3,1.5999999999999999
Children of Adam,2020,TV-14,1,0,3,1.4
Grizzy et les Lemmings,2018,TV-Y,2,0,2,1.6
